Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001142,4395008
CPP_ArrayManual,30000,remocaoIndice,0.00129,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001077,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001132,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001287,4395008
CPP_ArrayManual,30000,adicaoInicio,0.00107,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001139,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001292,4395008
CPP_ArrayManual,30000,adicaoInicio,0.00107,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001135,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001293,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001072,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001142,4395008
CPP_ArrayManual,30000,remocaoIndice,0.0013,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001086,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.00114,4395008
CPP_ArrayManual,30000,remocaoIndice,0.0013,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001076,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001132,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001292,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001082,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001139,4395008
CPP_ArrayManual,30000,remocaoIndice,0.0013,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001069,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001134,4395008
CPP_ArrayManual,30000,remocaoIndice,0.0013,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001072,4395008
CPP_ArrayManual,30000,adicaoFinal,1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001132,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001297,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001076,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001145,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001294,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001072,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001145,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001291,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001075,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
